"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,1.267,,
"HUN","Hungary","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,1.631,,
"HUN","Hungary","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,2.589,,
"HUN","Hungary","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,3.591,,
"HUN","Hungary","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,4.573,,
"HUN","Hungary","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,6.887,,
"HUN","Hungary","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,9.136,,
"HUN","Hungary","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,11.261,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.499,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,0.966,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,1.963,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,2.914,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,4.251,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,5.831,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,7.825,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,11.321,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,16.7,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,20.304,,
"ISL","Iceland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,23.664,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.909,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,1.143,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,1.523,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,2.144,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,3.145,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,4.85,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,6.932,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,8.65,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,12.427,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,16.305,,
"IRL","Ireland","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,19.089,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.769,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,0.861,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,1.063,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,1.36,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,1.867,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,2.747,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,4.304,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,7.072,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,10.97,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,14.42,,
"ITA","Italy","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,18.439,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.893,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,1.302,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,1.681,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,2.16,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,2.656,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,3.41,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,4.324,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,5.068,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,6.182,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,7.265,,
"JPN","Japan","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,8.48,,
